Category,Title
"Agriculture, FoodTech & Rural Development",AI crop disease detection from leaf images
"Agriculture, FoodTech & Rural Development",Precision irrigation control system
"Agriculture, FoodTech & Rural Development",Supply chain tracking of farm produce
"Agriculture, FoodTech & Rural Development",Soil nutrient sensor network
"Agriculture, FoodTech & Rural Development",Farm equipment rental platform
"Agriculture, FoodTech & Rural Development",Automated greenhouse controller
MedTech / BioTech / HealthTech,Remote health monitoring wearable
MedTech / BioTech / HealthTech,AI-based medical diagnosis assistant
MedTech / BioTech / HealthTech,Ambulance dispatch optimization tool
MedTech / BioTech / HealthTech,EHR integration across hospitals
MedTech / BioTech / HealthTech,Smart medicine adherence system
MedTech / BioTech / HealthTech,Telemedicine chatbot for rural clinics
Smart Automation,Home energy optimization controller
Smart Automation,Automated waste sorting robot
Smart Automation,AI-powered building maintenance system
Smart Automation,Gesture or voice controlled home devices
Smart Automation,Smart inventory tracking for small warehouses
Smart Automation,Predictive maintenance for machinery
Smart Vehicles,Vehicle health monitoring dashboard
Smart Vehicles,Smart vehicle platooning system
Smart Vehicles,AI driver fatigue detection system
Smart Vehicles,EV battery swap station scheduler
Smart Vehicles,Augmented reality navigation assistant
Smart Vehicles,Autonomous parking guidance system
Transportation & Logistics,Last mile delivery route optimizer
Transportation & Logistics,Real-time traffic congestion predictor
Transportation & Logistics,Public transport dynamic schedule planner
Transportation & Logistics,Load sharing for freight vehicles
Transportation & Logistics,Cargo tracking via IoT
Transportation & Logistics,Intelligent fleet management dashboard
Clean & Green Technology,Smart recycling bins
Clean & Green Technology,Solar microgrid management system
Clean & Green Technology,Greywater recycling controller
Clean & Green Technology,Air quality forecasting system
Clean & Green Technology,Biogas generation optimization tool
Clean & Green Technology,Sensor-based toilet cleanliness monitoring
Robotics & Drones,Search and rescue robot in disaster zones
Robotics & Drones,Agricultural drone for crop spraying
Robotics & Drones,Autonomous cleaning robot for public spaces
Robotics & Drones,Surveillance drone for emergency response
Robotics & Drones,Warehouse drone for inventory stock checks
Heritage & Culture,AR guided heritage tours
Heritage & Culture,Digital archive of local crafts
Heritage & Culture,Virtual museum platform
Heritage & Culture,Language learning app for tribal dialects
Heritage & Culture,Cultural event discovery & booking app
Heritage & Culture,AI art restoration assistant
Fitness & Sports,AI coach for personal workouts
Fitness & Sports,Real-time sports performance tracker
Fitness & Sports,Community fitness challenge app
Fitness & Sports,Injury prediction tool for athletes
Fitness & Sports,Virtual sports training assistant
Fitness & Sports,Gamified health habit tracker
